index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,色,都道府県,店舗
1689,198,78000,7,0,1,1,1,真珠,福岡県,ＷＥＣＡＲＳ（ウィーカーズ） 八幡店
1690,237.3,23000,6,0,1,0,1,真珠Ｍ,高知県,高知トヨタ自動車 一文橋ステーション
1691,179.9,53000,10,0,1,1,1,青Ｍ,兵庫県,リバティ 神戸店
1692,186.7,27000,10,0,1,0,1,真珠Ｍ,和歌山県,和歌山トヨタ自動車（株） 岩出店
1693,186.9,14000,9,0,1,0,1,真珠白,千葉県,ＳＵＶ　ＬＡＮＤ 船橋習志野
1694,179.6,17000,10,0,1,0,1,真珠白,栃木県,ネクステージ 宇都宮店
1695,177.8,45000,9,0,1,0,1,真珠,兵庫県,ＷＥＣＡＲＳ（ウィーカーズ） 神戸垂水店
1696,236.2,58000,7,0,1,0,1,青Ｍ,岩手県,岩手三菱自動車（株） ダイヤモンドカーズ　盛岡津志田店
1697,242.8,25000,8,0,1,1,1,真珠,長崎県,ＷＥＣＡＲＳ（ウィーカーズ） 佐世保店
1698,165,66000,11,0,1,1,1,白真珠,愛知県,トヨタモビリティ中京株式会社 春日井センター
1699,440.1,8000,2,0,1,1,1,青,北海道,北北海道三菱自動車販売株式会社 旭川店
1700,175.6,19000,10,0,1,0,1,青Ｍ,和歌山県,和歌山トヨタ自動車（株） 岩出店
1701,189.5,54000,10,0,1,0,1,銀,岩手県,自社ローン専門店じしゃロン 盛岡店
1702,160.4,124000,8,0,1,0,1,黒Ｍ,栃木県,自社ローン専門店じしゃロン 宇都宮店
1703,185.9,97000,10,0,1,0,1,黒Ｍ,京都府,自社ローン専門店じしゃロン 伏見店
1704,187.1,99000,10,0,1,0,1,黒Ｍ,滋賀県,自社ローン専門店じしゃロン 草津店
1705,153.9,33000,5,0,1,0,1,赤Ｍ,群馬県,群馬トヨタ自動車（株） Ｕ－Ｐａｒｋ桐生バイパス店
1706,239.5,15000,2,0,1,1,1,赤灰Ｍ,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　横須賀佐原インター
1707,138.1,48000,7,0,1,0,1,銀Ｍ,愛知県,愛知トヨタ 東刈谷店
1708,148.6,52000,8,0,1,1,1,黄,群馬県,群馬トヨタ自動車（株） Ｕ－Ｐａｒｋ高崎島野店
1709,127.6,72000,5,0,1,0,1,深銀Ｍ,鹿児島県,トヨタカローラ鹿児島 川内マイカーセンター
1710,269.5,18000,2,0,1,1,1,黒,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　湘南台
1711,147.9,47000,7,0,1,0,1,茶真珠,広島県,広島トヨペット ＡＬＡＬいのくち
1712,96.9,78000,9,0,1,0,1,青Ｍ,新潟県,ａｕｔｏ　ｗｏｒｋｅｒ　ＩＳＨＩＤＡ
1713,234.5,16000,3,0,1,0,1,黒濃,神奈川県,ウエインズトヨタ神奈川 ビークルステーション横浜町田インター
1714,100.8,71000,9,0,1,0,1,黄,埼玉県,トヨタユーゼック カーロッツ入間
1715,259.5,6000,2,0,1,1,1,緑,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　横浜狩場
1716,224.6,12000,3,0,1,0,1,黒,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　横浜狩場
1717,109.8,94000,7,0,1,0,1,真珠Ｍ,岩手県,ネッツトヨタ盛岡（株） カーステージ月が丘
1718,130.1,77000,8,0,1,1,1,茶Ｍ,愛知県,愛知トヨタ 高畑マイカーセンター
1719,154.6,51000,6,0,1,0,1,銀Ｍ,鹿児島県,トヨタカローラ鹿児島 郡元マイカーセンター
1720,76.4,140000,9,0,1,1,1,青,岐阜県,ミニバン専門店　ファイントラスト可児店
1721,195.6,32000,5,0,1,1,1,真珠Ｍ,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　平塚
1722,128.8,23000,5,1,1,0,1,黒Ｍ,愛知県,トヨタカローラ愛知（株） 楠マイカーセンター
1723,118.2,80000,9,0,1,1,1,黒Ｍ,愛知県,ＮＴＰ名古屋トヨペット（株） 三河安城店
1724,74.1,144000,9,0,1,1,1,黒,岐阜県,ミニバン専門店　ファイントラスト可児店
1725,265.7,38000,3,0,1,1,1,薄緑,大阪府,日産大阪販売（株） ＵＣＡＲＳ平野
1726,232.2,12000,3,0,1,0,1,緑,茨城県,茨城トヨペット株式会社 つくば西大橋店
1727,97,34000,8,1,1,0,1,赤Ｍ,愛知県,愛知トヨタ 城北店
1728,275,17000,2,0,1,1,1,緑,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　溝ノ口
1729,290.5,8000,2,0,1,1,1,灰濃,福岡県,トヨタカローラ福岡 新宮店
1730,230.4,29000,4,0,1,0,1,真珠Ｍ,福岡県,ネッツトヨタ北九州 シャント飯塚店
1731,161.8,25000,6,0,1,0,1,灰,奈良県,（株）奈良マツダ 大宮通り店
1732,253.2,40000,3,0,1,1,1,薄茶,神奈川県,ウエインズトヨタ神奈川 ビークルステーションライフタウン藤沢
1733,274.9,5000,3,0,1,1,1,黒,神奈川県,ウエインズトヨタ神奈川 ビークルステーションライフタウン藤沢
1734,263,25000,2,0,1,1,1,緑,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　平塚
1735,243.5,4000,3,0,1,0,1,黒,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　根岸
1736,189.5,21000,4,0,1,0,1,深銀Ｍ,神奈川県,ウエインズトヨタ神奈川 ＷＥＩＮＳ　Ｕ－Ｃａｒ　港北大倉山
1737,109.2,49000,10,0,1,0,1,真珠Ｍ,福岡県,ネッツトヨタ北九州 シャント宗像店
1738,229.5,41000,3,0,1,1,1,黒,神奈川県,ウエインズトヨタ神奈川 Ｕ－ＢＡＳＥ西湘
1739,105,70000,11,0,1,1,1,真珠Ｍ,愛知県,ＮＴＰ名古屋トヨペット（株） 下市場中古車センター
1740,168.6,46000,7,0,1,1,1,銀Ｍ,神奈川県,ウエインズトヨタ神奈川 ビークルステーション渕野辺
