index,車両本体価格(万円),走行距離(km),車歴,修復歴,保証,ハイブリッド,車検,都道府県
43,134.3,41000,7,0,1,0,1,愛知県
44,91.3,59000,11,0,1,1,1,大阪府
45,235.9,29000,3,0,1,1,1,埼玉県
46,182.7,52000,5,0,1,1,1,山梨県
47,109.9,67000,10,0,1,1,1,大阪府
48,108.6,38000,9,0,1,0,1,大阪府
49,117.3,81000,8,0,1,1,1,宮城県
50,85.9,86000,6,0,0,0,0,千葉県
51,150.9,49000,7,0,1,0,1,愛知県
52,206.8,39000,7,0,1,0,1,秋田県
53,187,45000,5,0,1,1,1,愛知県
54,196.8,26000,3,0,0,0,1,千葉県
55,186.8,32000,4,0,0,0,0,千葉県
56,174.9,57000,3,0,0,0,0,岡山県
57,109,68000,9,0,1,0,1,三重県
58,125.8,60000,10,0,1,1,1,大阪府
59,136.9,35000,7,0,1,0,1,三重県
60,204,16000,3,0,0,0,0,千葉県
61,97.8,49000,9,1,1,1,0,神奈川県
62,114.9,42000,9,0,1,0,1,愛知県
63,96.4,47000,10,0,1,0,1,大阪府
64,135.9,68000,8,0,1,1,1,愛知県
65,89.6,87000,11,0,1,0,1,大分県
66,119.9,65000,8,0,0,1,0,千葉県
67,189.7,33000,4,0,0,0,0,栃木県
68,129.8,64000,8,0,1,0,1,兵庫県
69,224.8,30000,5,0,1,1,1,愛知県
70,139.9,51000,9,0,1,0,1,北海道
71,77.8,97000,10,0,1,0,0,宮城県
72,229.6,32000,3,0,0,1,1,千葉県
73,108,57000,11,0,1,1,1,大阪府
74,100,78000,10,0,1,0,1,愛知県
75,106.8,78000,10,0,1,0,1,富山県
76,108.9,15000,9,0,1,0,1,大阪府
77,181.9,49000,6,0,1,1,1,福島県
78,128.8,78000,6,0,1,0,1,沖縄県
79,214.7,9000,3,0,0,0,0,千葉県
80,151.9,41000,7,0,1,0,1,大阪府
81,184.8,41000,3,0,0,0,1,千葉県
82,91.4,100000,10,0,1,1,1,愛知県
83,94.6,50000,11,0,1,0,1,埼玉県
84,187.1,31000,5,0,1,1,1,大阪府
85,129.8,61000,9,0,1,0,1,福島県
86,249.8,38000,2,0,1,1,1,大阪府
87,129.9,85000,6,0,1,0,1,福岡県
88,198.9,15000,3,0,1,0,1,大阪府
89,112.7,19000,9,0,0,0,0,岡山県
90,122.4,64000,10,0,1,1,1,岡山県
91,268.8,22000,2,0,1,1,1,愛知県
92,103.9,97000,10,0,1,1,1,福岡県
93,222.8,18000,4,0,1,1,1,群馬県
94,95.7,81000,9,0,1,1,1,埼玉県
95,233.9,44000,4,0,0,1,0,岡山県
96,229.5,19000,3,0,0,1,1,岡山県
97,262.4,7000,1,0,0,1,0,千葉県
98,182.8,45000,7,0,1,1,1,兵庫県
99,103.1,79000,9,0,1,1,1,埼玉県
100,204.9,22000,3,0,0,0,0,千葉県
